Name;INN;LegalAddress;PhysicalAddress;Description
"""АГАПЕ""";7723517121;109559, г Москва, УЛ ВЕРХНИЕ ПОЛЯ, Д 35, КОРП 5;109559, г Москва, УЛ ВЕРХНИЕ ПОЛЯ, Д 35, КОРП 5;"ФОНД ""АГАПЕ"""
"""АЛЬТАСТРОЙ""";7717161935;109386, МОСКВА Г, КРАСНОДОНСКАЯ УЛ, ДОМ 19, КОРПУС 2, ПОМ II КОМ 9, 12;109386, МОСКВА Г, КРАСНОДОНСКАЯ УЛ, ДОМ 19, КОРПУС 2, ПОМ II КОМ 9, 12;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЬТАСТРОЙ"""
"""Благотворительное общество ""Адреса милосердия""";7721503733;109380, г Москва, ул Степана Шутова, д 4, стр 1;109380, г Москва, ул Степана Шутова, д 4, стр 1;"""ФОНД ""БЛАГОТВОРИТЕЛЬНОЕ ОБЩЕСТВО ""АДРЕСА МИЛОСЕРДИЯ"""
"""ГАММА-ПЛАСТ""";7723908887;109559, МОСКВА ГОРОД, БУЛЬВАР ТИХОРЕЦКИЙ, ДОМ 16, КВАРТИРА 151;109559, МОСКВА ГОРОД, БУЛЬВАР ТИХОРЕЦКИЙ, ДОМ 16, КВАРТИРА 151;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАММА-ПЛАСТ"""
"""КЛУБ ИНТЕРЕС""";7723092091;109386, г Москва, ПР СПОРТИВНЫЙ, Д 3;109386, г Москва, ПР СПОРТИВНЫЙ, Д 3;"ОБЩЕСТВЕННАЯ И РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ (ОБЪЕДИНЕНИЕ) ""КЛУБ ИНТЕРЕС"""
"""Московск проф механизаторов и машинистов кранов""";7723368511;109387, г Москва, ул Кубанская, д 14, стр 1;109387, г Москва, ул Кубанская, д 14, стр 1;"Московская территориальная организация Российского профсоюза работников (учащихся) учреждений образования и культуры, государственных, муниципальных и некоммерческих организаций, коммунального хозяйства, торговли(РПРиУ) - ""Московский профсоюз механизаторов и машинистов кранов"""
АБУРАФА ФИРМА;7723067673;109386, г Москва, пр Спортивный, д 4, стр 0, комн 34;109386, г Москва, пр Спортивный, д 4, стр 0, комн 34;ТОВАРИЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ФИРМА АБУРАФА
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ОКАЗАНИЮ УСЛУГ В ОБЛАСТИ ПРАВА, ЭКСПЕРТИЗЫ И КОНСАЛТИНГА ""ЦЕНТР ЭКСПЕРТНЫХ И КОНСАЛТИНГОВЫХ ИССЛЕДОВАНИЙ""";7723213099;109382, г Москва, просп 40 лет Октября, д 40;109382, г Москва, просп 40 лет Октября, д 40;"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ОКАЗАНИЮ УСЛУГ В ОБЛАСТИ ПРАВА, ЭКСПЕРТИЗЫ И КОНСАЛТИНГА ""ЦЕНТР ЭКСПЕРТНЫХ И КОНСАЛТИНГОВЫХ ИССЛЕДОВАНИЙ"""
"АДИ ""Мария плюс""";7723026518;109382, МОСКВА Г, ВЕРХНИЕ ПОЛЯ УЛ, 5, 1, 18;109382, МОСКВА Г, ВЕРХНИЕ ПОЛЯ УЛ, 5, 1, 18;"АССОЦИАЦИЯ ДЕТЕЙ-ИНВАЛИДОВ ""МАРИЯ ПЛЮС"""
АКАДЕМИЯ;7723123222;109382, МОСКВА Г, СОВХОЗНАЯ УЛ, 10;109382, МОСКВА Г, СОВХОЗНАЯ УЛ, 10;"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""АКАДЕМИЯ КАДРОВОЙ И СОЦИАЛЬНОЙ ПОЛИТИКИ АГРОПРОМЫШЛЕННОГО КОМПЛЕКСА"""
"АКЦИОНЕРНОЕ ФИН-ПРОМЫШЛЕННОЕ ОБЪЕДИНЕНИЕ ""ПРОТОН""";7723024246;109382, Г МОСКВА,УЛ НИЖНИЕ ПОЛЯ, Д 29;109382, Г МОСКВА,УЛ НИЖНИЕ ПОЛЯ, Д 29;"АКЦИОНЕРНОЕ ФИНАНСОВО-ПРОМЫШЛЕННОЕ ОБЪЕДИНЕНИЕ ""ПРОТОН"""
АЛАЖАРВИ;7723107750;109832, г Москва, пр Кирова, д 2;109832, г Москва, пр Кирова, д 2;ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО АЛАЖАРВИ
АЛЬКОН ФИРМА СБК;7723103378;109386, г Москва, ул Ставропольская, д 17, корп 2;109386, г Москва, ул Ставропольская, д 17, корп 2;ОБЩЕСТВО ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТИ СТРОИТЕЛЬНО-БЫТОВОЙ КОМБИНАТ ФИРМА АЛЬКОН
"АНО ""5+""";7723526856;109382, г Москва, ул Армавирская, д 4;109382, г Москва, ул Армавирская, д 4;"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""5+"""
